AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_OTHER_ROOM,PARK_FACIL,HOUSE_AGE,SALES_PRICE
Karapakkam,1313,1,1,1,0,23,10554000
Adyar,625,1,1,0,0,40,8739100
KKNagar,1933,3,2,0,0,22,15479240
Karapakkam,681,1,1,0,1,43,6434750
Karapakkam,636,1,1,0,0,27,4706750
AnnaNagar,1718,1,1,2,1,13,14419380
Karapakkam,1086,1,1,1,1,45,6898750
Chromepet,845,1,1,1,0,10,10081500
AnnaNagar,1774,1,1,2,1,29,14046370
AnnaNagar,1730,1,1,2,0,34,12120330
Chromepet,1180,1,1,1,0,35,8937450
Velachery,1607,2,1,1,0,24,13758930
Adyar,1182,1,1,1,0,5,13205875
TNagar,1539,1,1,2,0,32,17061540
Karapakkam,1636,2,2,0,0,34,5624750
Karapakkam,1088,1,1,1,0,32,6368000
Karapakkam,1229,1,1,1,1,19,8019500
Adyar,848,1,1,1,0,19,6618400
Chromepet,1209,2,1,1,1,4,14878750
KKNagar,2041,3,2,0,0,19,9625180
Adyar,618,1,1,0,0,13,5546495
AnnaNagar,1750,1,1,2,0,34,11997230
AnnaNagar,1816,2,1,2,0,17,13275240
Karapakkam,793,1,1,0,0,20,4398625
Velachery,1737,2,1,1,0,33,13296730
Adyar,658,1,1,0,0,18,4479770
Adyar,1219,2,2,0,0,12,11155480
Karapakkam,1272,1,1,1,0,37,10279750
Chromepet,919,1,1,1,1,22,8984050
AnnaNagar,1741,1,1,2,0,36,12133700
AnnaNagar,1984,2,1,2,0,26,15185240
KKNagar,2202,3,2,0,1,14,18670480
Adyar,630,1,1,0,1,19,7385285
KKNagar,1344,2,1,1,0,8,13112560
Karapakkam,915,1,1,1,0,43,5858250
Velachery,1884,3,2,0,0,50,6860970
TNagar,1989,2,1,2,0,37,12677940
Adyar,730,1,1,0,1,21,7779515
Chromepet,1081,1,1,1,1,33,8721550
Chromepet,1198,1,1,1,1,14,13776050
Chromepet,927,1,1,1,0,15,8134850
Velachery,1611,2,1,1,0,24,9281280
Adyar,655,1,1,0,1,7,11399205
Velachery,1634,2,1,1,1,19,14906280
KKNagar,1762,2,1,1,0,27,14646760
KKNagar,2049,3,2,0,0,10,10019420
Velachery,1711,2,1,1,0,25,14547070
KKNagar,1807,3,2,0,1,23,15929660
Karapakkam,591,1,1,0,1,31,7142250
TNagar,1827,2,1,2,1,13,20555760
Adyar,789,1,1,0,1,25,10584775
Adyar,1299,2,2,0,0,40,15815700
Adyar,786,1,1,0,0,31,7414265
Velachery,1726,2,1,1,1,42,7662340
TNagar,1790,1,1,2,1,21,14241820
Adyar,691,1,1,0,0,26,5125790
KKNagar,1405,2,1,1,1,11,10084320
Adyar,1009,1,1,1,1,10,13215865
AnnaNagar,1525,1,1,2,1,31,19571820
Velachery,1847,3,2,0,1,12,11256610
Chromepet,1250,2,1,1,1,16,15556750
Karapakkam,804,1,1,0,1,6,5903750
KKNagar,2117,3,2,0,1,17,12416100
KKNagar,2018,3,2,0,1,21,12554380
Chromepet,942,1,1,1,0,26,7567040
Adyar,777,1,1,0,1,25,8517175
TNagar,1695,1,1,2,1,22,13209090
Adyar,902,1,1,1,0,5,10556375
Velachery,1904,3,2,0,0,24,8504780
AnnaNagar,1536,1,1,2,0,42,10245090
Karapakkam,827,1,1,0,1,16,8307375
Velachery,1553,2,1,1,0,54,6524930
Chromepet,768,1,1,0,1,19,7171850
Chromepet,1245,2,1,1,0,8,14686600
Velachery,1662,2,1,1,1,30,8427850
KKNagar,1958,3,2,0,0,20,10676820
KKNagar,2281,4,2,0,1,13,19171860
Velachery,1908,3,2,0,1,35,8466820
Adyar,916,1,1,1,1,34,9379310
Chromepet,1101,1,1,1,1,9,8410150
AnnaNagar,1518,1,1,2,1,33,12430300
Adyar,1049,1,1,1,1,20,11139700
Karapakkam,736,1,1,0,1,29,6304750
Adyar,693,1,1,0,0,8,8013720
AnnaNagar,1802,2,1,2,0,6,13397130
Adyar,888,1,1,1,1,29,9910835
Chromepet,973,1,1,1,1,13,9536960
Karapakkam,663,1,1,0,1,19,4408125
Chromepet,700,1,1,0,1,40,8270600
Adyar,976,1,1,1,1,12,9801395
KKNagar,2283,4,2,0,1,5,13852380
KKNagar,1301,1,1,1,1,7,12099740
Karapakkam,1261,1,1,1,0,18,9634250
KKNagar,2365,4,2,0,0,23,18624480
Chromepet,958,1,1,1,0,12,9008060
Velachery,1587,2,1,1,1,23,8586060
TNagar,1977,2,1,2,1,32,22000360
Chromepet,1137,1,1,1,0,5,10441640
Chromepet,865,1,1,1,0,27,7775300
Chromepet,1125,1,1,1,1,22,9248500
Karapakkam,1635,2,2,0,0,4,10620750
KKNagar,2345,4,2,0,0,10,13355100
Chromepet,1072,1,1,1,1,25,8569350
KKNagar,2416,4,2,0,1,22,19635040
Velachery,1720,2,1,1,0,50,8420300
Karapakkam,727,1,1,0,1,12,5859875
TNagar,1970,2,1,2,1,40,16053550
Velachery,1891,3,2,0,1,44,12303400
Karapakkam,1227,1,1,1,1,6,6198000
Chromepet,1253,2,1,1,1,8,11010960
Karapakkam,1278,1,1,1,0,21,10544750
Adyar,692,1,1,0,0,8,4678720
Chromepet,1186,1,1,1,0,29,13042550
KKNagar,1881,3,2,0,1,8,12666980
Chromepet,898,1,1,1,1,6,10373360
Velachery,1661,2,1,1,1,28,8514030
KKNagar,1536,2,1,1,0,15,8720100
Chromepet,726,1,1,0,1,33,7187570
Adyar,961,1,1,1,1,18,10968170
Karapakkam,1356,2,2,0,1,42,7243250
Chromepet,882,1,1,1,0,4,8665540
Karapakkam,1558,2,2,0,1,39,7898250
Karapakkam,1440,2,2,0,1,41,7859750
Karapakkam,691,1,1,0,1,20,6059625
Adyar,1255,2,2,0,0,10,10084565
Chromepet,1009,1,1,1,1,24,13362600
Adyar,1065,1,1,1,0,5,6857075
Chromepet,1065,1,1,1,1,38,9955700
Karapakkam,694,1,1,0,1,44,3807000
Chromepet,1045,1,1,1,0,18,9020500
Karapakkam,730,1,1,0,1,32,5500000
Velachery,1871,3,2,0,0,49,8616750
Chromepet,994,1,1,1,1,21,9475900
AnnaNagar,1754,1,1,2,0,27,10917740
KKNagar,2224,4,2,0,1,29,12196780
Karapakkam,836,1,1,0,0,21,3577000
Karapakkam,1399,2,2,0,0,39,11019000
Velachery,1950,3,2,0,1,10,11217570
AnnaNagar,1519,1,1,2,1,39,13037450
AnnaNagar,1605,1,1,2,1,40,12149050
Chromepet,1230,2,1,1,0,7,14109250
Karapakkam,584,1,1,0,1,30,7439500
Velachery,1590,2,1,1,0,54,13277730
Velachery,1734,2,1,1,0,10,10180900
Chromepet,786,1,1,0,0,6,10905100
Chromepet,701,1,1,0,0,36,8513600
Adyar,783,1,1,0,1,38,8538070
AnnaNagar,1739,1,1,2,0,14,12739970
Chromepet,1127,1,1,1,0,31,8841600
Chromepet,919,1,1,1,0,28,10180400
Chromepet,902,1,1,1,0,4,8637740
Adyar,838,1,1,1,1,37,11197455
Chromepet,1026,1,1,1,0,21,12388350
Karapakkam,1346,2,2,0,1,44,7441000
KKNagar,1764,2,1,1,0,22,10950540
Chromepet,825,1,1,1,1,14,11338250
Velachery,1542,2,1,1,1,11,10737270
KKNagar,1869,3,2,0,0,16,11190500
Adyar,1291,2,2,0,0,27,6951120
Karapakkam,950,1,1,1,1,45,5628000
Karapakkam,680,1,1,0,1,32,8208000
AnnaNagar,1579,1,1,2,1,30,12812990
Chromepet,1047,1,1,1,1,37,9051140
AnnaNagar,1660,1,1,2,1,29,18681200
Chromepet,835,1,1,1,1,21,9220450
AnnaNagar,1883,2,1,2,0,15,13316650
Adyar,1109,1,1,1,1,35,10039740
Adyar,995,1,1,1,1,34,8055010
Velachery,1747,2,1,1,1,32,12038110
AnnaNagar,1529,1,1,2,1,35,11985700
Karapakkam,1034,1,1,1,1,37,8345500
KKNagar,1302,1,1,1,0,26,11286720
Karapakkam,654,1,1,0,1,6,6754500
Chromepet,1020,1,1,1,1,26,13245700
Karapakkam,506,1,1,0,0,27,6519250
TNagar,1955,2,1,2,1,42,13986310
Karapakkam,1653,2,2,0,0,24,12268750
Velachery,1820,3,2,0,1,32,11050340
Velachery,1508,2,1,1,1,8,12035430
Karapakkam,1292,1,1,1,0,17,8974750
AnnaNagar,1922,2,1,2,0,23,21208080
Karapakkam,584,1,1,0,0,11,3928250
AnnaNagar,1839,2,1,2,1,14,13903480
Velachery,1879,3,2,0,0,32,9900740
Karapakkam,1199,1,1,1,0,31,7329125
Chromepet,1181,1,1,1,1,11,11060050
Chromepet,1068,1,1,1,0,12,9087160
Velachery,1686,2,1,1,1,25,12026070
KKNagar,2242,4,2,0,1,11,13547460
Chromepet,1259,2,1,1,0,17,9574950
TNagar,1843,2,1,2,1,29,13613320
TNagar,1924,2,1,2,1,19,14480950
Chromepet,1144,1,1,1,0,30,12649650
Karapakkam,542,1,1,0,1,26,7689500
AnnaNagar,1515,1,1,2,0,39,10864880
Adyar,630,1,1,0,0,15,9683840
Velachery,1671,2,1,1,0,17,10676510
Karapakkam,1047,1,1,1,0,18,6066000
AnnaNagar,1595,1,1,2,1,29,17471500
Adyar,1299,2,2,0,0,11,8087365
AnnaNagar,1626,1,1,2,1,37,12837890
Karapakkam,801,1,1,0,0,17,5038250
Chromepet,1089,1,1,1,1,4,13099400
AnnaNagar,1955,2,1,2,0,11,11575870
KKNagar,1708,2,1,1,0,17,13502140
TNagar,1697,1,1,2,1,10,14121610
TNagar,1975,2,1,2,0,12,12643190
Velachery,1966,3,2,0,1,49,11333130
AnnaNagar,1791,1,1,2,0,15,14020280
Velachery,1890,3,2,0,1,6,15850840
Karapakkam,967,1,1,1,0,29,3891250
AnnaNagar,1711,1,1,2,0,12,14106990
KKNagar,1583,2,1,1,0,25,10848760
Adyar,1274,2,2,0,1,22,10736530
Karapakkam,1356,2,2,0,0,44,6683750
Chromepet,1144,1,1,1,1,36,8969400
Chromepet,1129,1,1,1,0,16,9117330
Adyar,695,1,1,0,1,11,9132865
Chromepet,867,1,1,1,1,14,8325850
KKNagar,1501,2,1,1,0,26,9155320
Velachery,1896,3,2,0,1,14,11606300
Karapakkam,1449,2,2,0,0,17,5464000
AnnaNagar,1700,1,1,2,0,5,11926600
Velachery,1829,3,2,0,0,15,8669050
Chromepet,1178,1,1,1,1,33,10285360
KKNagar,1460,2,1,1,0,16,9213320
AnnaNagar,1807,2,1,2,1,36,13308490
Adyar,1103,1,1,1,1,24,13089560
Chromepet,992,1,1,1,0,21,8611350
Adyar,1268,2,2,0,0,14,9952510
AnnaNagar,1890,2,1,2,0,17,11505040
Karapakkam,670,1,1,0,0,15,5136000
Karapakkam,1236,1,1,1,1,15,7416000
Karapakkam,1256,1,1,1,0,28,6081000
Chromepet,1071,1,1,1,1,16,14402200
Chromepet,1217,2,1,1,1,10,11863790
Karapakkam,1488,2,2,0,1,14,6997500
KKNagar,2162,3,2,0,1,29,17248780
Velachery,1623,2,1,1,1,20,13518220
AnnaNagar,1585,1,1,2,0,44,17934280
KKNagar,2237,4,2,0,0,24,12183080
Karapakkam,1662,2,2,0,0,26,8532500
Adyar,819,1,1,1,0,35,10569040
KKNagar,2348,4,2,0,0,29,12021160
Adyar,604,1,1,0,1,27,9000305
TNagar,1849,2,1,2,0,29,12412950
Karapakkam,1617,2,2,0,1,46,10281375
KKNagar,1733,2,1,1,0,15,14773100
Chromepet,802,1,1,1,1,35,7178990
Adyar,1081,1,1,1,0,36,10970740
Adyar,1243,2,2,0,1,35,8270125
Karapakkam,1430,2,2,0,0,37,7514750
KKNagar,1707,2,1,1,0,25,9737060
KKNagar,1317,1,1,1,0,9,11665400
Karapakkam,1128,1,1,1,1,48,5441000
KKNagar,2458,4,2,0,0,21,11375820
Chromepet,1091,1,1,1,0,23,7697920
Velachery,1795,2,1,1,1,40,11809800
KKNagar,2481,4,2,0,1,13,14276060
Chromepet,1095,1,1,1,1,18,13888700
TNagar,1759,1,1,2,0,36,11863220
AnnaNagar,1774,1,1,2,1,40,13785170
KKNagar,2314,4,2,0,1,19,14159480
AnnaNagar,1695,1,1,2,1,35,11994050
Chromepet,1099,1,1,1,0,31,13266650
TNagar,1547,1,1,2,1,37,13597890
Adyar,927,1,1,1,0,5,10431690
AnnaNagar,1966,2,1,2,0,33,11752460
KKNagar,1541,2,1,1,0,16,13945940
Velachery,1978,3,2,0,1,49,10699280
Karapakkam,1208,1,1,1,1,24,10895000
Karapakkam,659,1,1,0,0,20,5882500
TNagar,1834,2,1,2,0,9,13990830
Chromepet,792,1,1,0,1,8,8344040
Chromepet,1262,2,1,1,0,27,10773390
Chromepet,767,1,1,0,1,34,8320290
Karapakkam,1225,1,1,1,0,35,4243125
Chromepet,732,1,1,0,1,3,7978600
Karapakkam,1647,2,2,0,1,22,11117625
KKNagar,1344,2,1,1,1,9,8991380
Adyar,807,1,1,1,1,24,7081160
Karapakkam,631,1,1,0,1,22,8269500
TNagar,1775,1,1,2,1,22,12397590
Adyar,753,1,1,0,1,29,5716935
KKNagar,1952,3,2,0,1,19,11148980
Chromepet,1021,1,1,1,1,15,9320800
Chromepet,1126,1,1,1,1,22,9282050
KKNagar,2397,4,2,0,1,13,12753880
Chromepet,1059,1,1,1,1,26,14246650
KKNagar,1625,2,1,1,1,29,9902600
Karapakkam,1080,1,1,1,1,6,10254500
KKNagar,2254,4,2,0,1,7,12428040
Velachery,1696,2,1,1,0,9,13594630
Velachery,1943,3,2,0,0,39,10774250
KKNagar,1499,2,1,1,0,11,13324620
Velachery,1782,2,1,1,1,26,14471520
AnnaNagar,1505,1,1,2,0,19,17242780
KKNagar,2050,3,2,0,1,13,16814260
AnnaNagar,1665,1,1,2,1,43,12639580
Karapakkam,1391,2,2,0,1,25,6642000
AnnaNagar,1797,1,1,2,1,43,13049510
TNagar,1514,1,1,2,0,28,16835310
Adyar,786,1,1,0,1,10,10371250
Velachery,1991,3,2,0,1,37,13805110
Velachery,1814,3,2,0,0,7,13975040
Karapakkam,504,1,1,0,0,28,3454000
Adyar,1215,2,2,0,1,11,16693265
TNagar,1934,2,1,2,0,26,14154820
KKNagar,1691,2,1,1,1,29,14691200
Chromepet,1294,2,1,1,1,13,15704500
KKNagar,2268,4,2,0,0,12,11645200
Karapakkam,615,1,1,0,0,19,7284250
Karapakkam,1640,2,2,0,1,17,10169750
Chromepet,832,1,1,1,0,10,9252340
AnnaNagar,1919,2,1,2,0,37,12308240
Velachery,1788,2,1,1,0,16,9689440
TNagar,1674,1,1,2,1,40,13280420
Chromepet,723,1,1,0,0,38,7603010
Adyar,990,1,1,1,0,23,10631860
KKNagar,2219,3,2,0,0,20,17449820
Adyar,1167,1,1,1,0,35,7904525
TNagar,1566,1,1,2,0,28,17187060
Chromepet,1053,1,1,1,1,3,10137210
Velachery,1781,2,1,1,0,55,13206150
KKNagar,2470,4,2,0,0,29,12792980
Velachery,1612,2,1,1,0,14,8690980
KKNagar,1418,2,1,1,1,17,8878740
Chromepet,1032,1,1,1,1,31,9629850
Karapakkam,1430,2,2,0,1,33,12919750
Chromepet,812,1,1,1,1,8,12347950
Karapakkam,571,1,1,0,1,15,4627500
Velachery,1709,2,1,1,1,26,13822920
Chromepet,1128,1,1,1,0,35,12072650
KKNagar,1731,2,1,1,0,6,11270960
Velachery,1620,2,1,1,1,12,13957610
Velachery,1581,2,1,1,1,9,13356200
AnnaNagar,1672,1,1,2,1,17,14477850
Chromepet,1266,2,1,1,1,29,9077550
Chromepet,1298,2,1,1,1,25,11998010
TNagar,1952,2,1,2,1,45,13942350
KKNagar,2386,4,2,0,1,23,12941380
Chromepet,1058,1,1,1,1,21,8598500
Adyar,987,1,1,1,1,15,9200725
Karapakkam,1256,1,1,1,0,11,9393000
KKNagar,1824,3,2,0,0,7,15122540
Velachery,1752,2,1,1,0,24,8535580
Adyar,796,1,1,0,1,10,9737150
Chromepet,1031,1,1,1,0,40,9241670
Chromepet,1114,1,1,1,1,5,9688300
AnnaNagar,1567,1,1,2,0,43,11630020
Adyar,1282,2,2,0,1,27,9301605
Chromepet,957,1,1,1,1,22,8292190
TNagar,1510,1,1,2,0,32,16300260
Karapakkam,1005,1,1,1,1,8,7525375
Velachery,1824,3,2,0,0,30,6911070
Chromepet,837,1,1,1,1,18,10563700
Adyar,1103,1,1,1,0,11,7693965
Karapakkam,1386,2,2,0,0,5,8418500
Velachery,1588,2,1,1,1,44,11516250
Chromepet,792,1,1,0,0,35,10567050
Chromepet,1241,2,1,1,1,35,8939050
KKNagar,1571,2,1,1,1,11,11648840
Chromepet,770,1,1,0,0,33,8883750
AnnaNagar,1707,1,1,2,0,42,17363590
TNagar,1840,2,1,2,1,41,14477820
Karapakkam,972,1,1,1,0,42,6399750
Adyar,1000,1,1,1,0,18,8348770
TNagar,1888,2,1,2,1,38,13764960
Karapakkam,557,1,1,0,1,37,3210125
Chromepet,1180,1,1,1,0,27,8889850
Chromepet,1219,2,1,1,1,4,9951030
Karapakkam,943,1,1,1,1,26,8776500
Chromepet,1133,1,1,1,1,16,9468000
Adyar,1153,1,1,1,1,23,8350260
Velachery,1618,2,1,1,1,30,16354300
Karapakkam,1246,1,1,1,1,37,7957500
KKNagar,2389,4,2,0,0,27,18402940
KKNagar,2227,4,2,0,0,6,11820720
AnnaNagar,1853,2,1,2,1,30,13761350
Chromepet,926,1,1,1,0,27,11939850
TNagar,1517,1,1,2,0,25,11712660
KKNagar,1721,2,1,1,0,22,9225240
Karapakkam,1231,1,1,1,0,17,5711000
Karapakkam,1090,1,1,1,1,49,4876500
Velachery,1590,2,1,1,1,8,13925230
Karapakkam,1353,2,2,0,1,34,7507375
AnnaNagar,1610,1,1,2,1,29,13545830
TNagar,1883,2,1,2,1,29,14866620
Chromepet,1029,1,1,1,1,29,13376150
Chromepet,1285,2,1,1,1,29,11819950
Adyar,1210,2,2,0,1,35,12495925
Karapakkam,774,1,1,0,0,38,4182250
Chromepet,940,1,1,1,0,3,9064800
Velachery,1893,3,2,0,1,31,9995770
Chromepet,857,1,1,1,0,30,7377300
TNagar,1563,1,1,2,0,6,11277710
Velachery,1634,2,1,1,0,16,9643920
KKNagar,1483,2,1,1,0,19,8756780
TNagar,1902,2,1,2,1,12,21789460
TNagar,1638,1,1,2,1,37,13906030
AnnaNagar,1877,2,1,2,1,25,21810920
Chromepet,751,1,1,0,1,17,8484620
KKNagar,1873,3,2,0,0,23,15494260
Chromepet,1021,1,1,1,1,25,8387750
Karapakkam,1448,2,2,0,1,23,13435000
Karapakkam,720,1,1,0,0,38,6352250
AnnaNagar,1514,1,1,2,0,28,12279230
KKNagar,2347,4,2,0,0,27,12885880
KKNagar,1816,3,2,0,1,25,10764320
Velachery,1615,2,1,1,1,37,8092310
Velachery,1941,3,2,0,0,25,11014650
KKNagar,2227,4,2,0,1,8,12334760
Chromepet,1119,1,1,1,1,29,13267150
Chromepet,885,1,1,1,0,35,8414700
Karapakkam,1417,2,2,0,1,37,12304750
Adyar,1278,2,2,0,1,37,9448455
Chromepet,1050,1,1,1,1,20,11284700
TNagar,1706,1,1,2,1,42,13094870
Karapakkam,774,1,1,0,0,41,6353750
AnnaNagar,1751,1,1,2,1,19,13331980
Karapakkam,729,1,1,0,1,24,6678875
Chromepet,1142,1,1,1,1,28,10065600
Velachery,1668,2,1,1,1,43,9150510
Chromepet,857,1,1,1,0,8,12232800
Velachery,1774,2,1,1,0,18,14103230
Chromepet,897,1,1,1,1,22,8957390
TNagar,1838,2,1,2,0,14,20241530
Adyar,1000,1,1,1,1,15,8080925
Karapakkam,1209,1,1,1,0,41,6567375
Chromepet,858,1,1,1,1,18,10335050
Adyar,767,1,1,0,1,7,9045605
TNagar,1624,1,1,2,1,43,13234330
Karapakkam,579,1,1,0,0,35,5032625
Adyar,881,1,1,1,1,13,12724510
Chromepet,722,1,1,0,1,27,6888450
Velachery,1837,3,2,0,0,18,11411760
Chromepet,1296,2,1,1,0,34,9965620
Karapakkam,1624,2,2,0,0,31,7651250
AnnaNagar,1630,1,1,2,1,41,12938720
Chromepet,1257,2,1,1,0,24,9946290
Chromepet,1163,1,1,1,0,35,12123250
Velachery,1652,2,1,1,1,43,12039380
Velachery,1566,2,1,1,0,30,6776450
Velachery,1669,2,1,1,0,49,7193030
Karapakkam,1009,1,1,1,1,49,5272250
Adyar,750,1,1,0,0,30,6252365
KKNagar,2149,3,2,0,0,7,11840340
Velachery,1818,3,2,0,1,23,9890560
KKNagar,1623,2,1,1,0,5,14485900
AnnaNagar,1602,1,1,2,1,35,12359320
Chromepet,1143,1,1,1,0,9,12716150
Adyar,865,1,1,1,0,37,4982055
AnnaNagar,1880,2,1,2,0,20,20562600
Chromepet,721,1,1,0,0,26,8732470
TNagar,1510,1,1,2,0,18,10754410
Adyar,1025,1,1,1,1,26,13168605
Karapakkam,762,1,1,0,1,49,7675750
TNagar,1609,1,1,2,0,45,17720900
Chromepet,869,1,1,1,1,8,12454750
Adyar,1109,1,1,1,1,27,12735905
Adyar,928,1,1,1,0,9,6997335
Velachery,1747,2,1,1,1,13,9983410
TNagar,1526,1,1,2,0,9,18546530
TNagar,1922,2,1,2,1,41,13211540
KKNagar,1366,2,1,1,0,27,9808360
Karapakkam,731,1,1,0,0,31,3102500
TNagar,1886,2,1,2,0,42,12040960
Velachery,1754,2,1,1,1,41,11963590
Adyar,1236,2,2,0,0,33,13478895
Chromepet,1291,2,1,1,1,31,10499650
AnnaNagar,1744,1,1,2,0,41,11667270
Adyar,933,1,1,1,0,11,9022165
Chromepet,747,1,1,0,0,22,6206700
Velachery,1574,2,1,1,1,43,8287180
Chromepet,1290,2,1,1,0,10,13442250
Velachery,1574,2,1,1,0,53,13113330
Karapakkam,932,1,1,1,1,36,10095000
Karapakkam,1047,1,1,1,0,13,8597500
AnnaNagar,1957,2,1,2,0,18,13371220
Karapakkam,1511,2,2,0,1,39,9268750
KKNagar,1761,2,1,1,1,28,14397160
KKNagar,2287,4,2,0,0,9,12339780
Velachery,1749,2,1,1,0,18,10236960
Karapakkam,1550,2,2,0,1,37,8566750
TNagar,1766,1,1,2,0,24,18658980
AnnaNagar,1540,1,1,2,1,16,13186470
Velachery,1874,3,2,0,0,35,9292000
Karapakkam,1454,2,2,0,0,5,7202750
KKNagar,2461,4,2,0,0,5,11338920
Velachery,1528,2,1,1,1,21,13642920
Adyar,823,1,1,1,0,5,7174375
KKNagar,1389,2,1,1,0,23,9630040
Adyar,765,1,1,0,0,11,8203665
Adyar,1244,2,2,0,1,8,8661320
Velachery,1566,2,1,1,1,25,11548700
AnnaNagar,1539,1,1,2,0,13,11320960
Chromepet,1283,2,1,1,1,35,15503650
Chromepet,1132,1,1,1,1,34,13606450
Chromepet,948,1,1,1,0,8,8423350
Karapakkam,589,1,1,0,1,47,6061625
Karapakkam,1025,1,1,1,0,16,7688000
Chromepet,885,1,1,1,1,25,10958500
Karapakkam,758,1,1,0,0,30,6237500
Adyar,663,1,1,0,1,16,5426740
Velachery,1530,2,1,1,1,22,6752540
Velachery,1948,3,2,0,0,38,10765530
Adyar,940,1,1,1,1,12,8871195
TNagar,1532,1,1,2,0,7,10802190
Velachery,1894,3,2,0,1,46,8917740
KKNagar,1373,2,1,1,0,23,8638540
Velachery,1528,2,1,1,0,30,7922150
Velachery,1826,3,2,0,0,39,9711430
Karapakkam,1132,1,1,1,0,38,5330500
TNagar,1955,2,1,2,1,14,14862430
Karapakkam,1036,1,1,1,1,16,8901750
TNagar,1504,1,1,2,1,5,20362800
AnnaNagar,1826,2,1,2,1,16,15779500
Karapakkam,1609,2,2,0,1,37,11274750
Karapakkam,891,1,1,1,1,12,7999750
Karapakkam,1665,2,2,0,0,10,7729125
AnnaNagar,1965,2,1,2,1,35,14411150
Chromepet,1157,1,1,1,0,5,12632900
KKNagar,2064,3,2,0,0,21,16497820
Chromepet,1181,1,1,1,0,15,9847570
KKNagar,1653,2,1,1,1,20,10794060
KKNagar,2282,4,2,0,0,26,12171140
Karapakkam,1531,2,2,0,0,34,11451250
AnnaNagar,1629,1,1,2,0,6,19939120
Chromepet,1081,1,1,1,1,39,9778420
Karapakkam,1041,1,1,1,1,6,9045250
Chromepet,1175,1,1,1,1,27,9758600
Chromepet,810,1,1,1,0,29,9879950
KKNagar,1722,2,1,1,0,19,9795980
Karapakkam,1475,2,2,0,0,20,8296250
AnnaNagar,1522,1,1,2,0,5,11295000
Chromepet,1286,2,1,1,1,7,14962800
Velachery,1803,3,2,0,1,14,11546330
Chromepet,866,1,1,1,0,29,10173350
Adyar,1178,1,1,1,1,19,8638785
AnnaNagar,1626,1,1,2,0,9,12866410
AnnaNagar,1589,1,1,2,1,8,12025410
Chromepet,1165,1,1,1,0,35,7550250
Adyar,618,1,1,0,0,35,8421940
Chromepet,1144,1,1,1,0,38,9341380
Adyar,1201,2,2,0,0,36,14203140
Karapakkam,879,1,1,0,1,37,6313250
AnnaNagar,1501,1,1,2,1,35,13627030
Adyar,1289,2,2,0,1,17,17360470
KKNagar,1741,2,1,1,1,10,10458220
Karapakkam,1585,2,2,0,0,44,11996750
Chromepet,897,1,1,1,1,9,9162950
Chromepet,1172,1,1,1,1,20,9701600
Karapakkam,1321,1,1,1,1,18,8527375
Karapakkam,798,1,1,0,0,13,4517000
TNagar,1808,2,1,2,0,20,20487250
Chromepet,934,1,1,1,0,16,7774580
Chromepet,961,1,1,1,1,29,8637320
Adyar,962,1,1,1,0,11,6374265
KKNagar,1778,3,2,0,0,6,10567300
AnnaNagar,1756,1,1,2,1,12,12368790
Karapakkam,1023,1,1,1,0,6,4798625
Adyar,784,1,1,0,0,31,6611365
KKNagar,1485,2,1,1,0,10,8195220
KKNagar,2177,3,2,0,1,12,13553180
KKNagar,2088,3,2,0,1,17,12879720
Adyar,1181,1,1,1,1,24,8418360
KKNagar,1308,1,1,1,0,9,9168580
Karapakkam,663,1,1,0,0,19,3815750
TNagar,1975,2,1,2,1,5,13567150
Chromepet,749,1,1,0,0,22,9607900
Velachery,1727,2,1,1,1,32,8269610
KKNagar,2158,3,2,0,1,17,13154100
Chromepet,1157,1,1,1,0,10,9455100
TNagar,1832,2,1,2,0,21,21686920
Chromepet,1138,1,1,1,1,15,13801050
Chromepet,770,1,1,0,0,4,6348750
TNagar,1842,2,1,2,0,23,13040160
TNagar,1882,2,1,2,1,41,19761890
Chromepet,757,1,1,0,1,14,8854790
Velachery,1884,3,2,0,1,37,9955440
KKNagar,1729,2,1,1,1,6,10643500
Adyar,866,1,1,1,1,29,6666735
Karapakkam,919,1,1,1,1,16,10589000
KKNagar,1587,2,1,1,0,5,8983700
Chromepet,1282,2,1,1,1,16,11073340
Chromepet,928,1,1,1,0,38,8454860
Chromepet,898,1,1,1,0,29,6802150
Adyar,692,1,1,0,1,25,7814575
TNagar,1972,2,1,2,1,39,13941590
KKNagar,2079,3,2,0,0,10,10468580
KKNagar,1486,2,1,1,0,10,12616820
AnnaNagar,1742,1,1,2,1,41,20982920
TNagar,1936,2,1,2,1,24,13788080
Karapakkam,1214,1,1,1,0,49,9985750
Karapakkam,1257,1,1,1,1,34,6660000
Karapakkam,841,1,1,0,1,19,5355750
KKNagar,2255,4,2,0,0,14,16982280
Velachery,1605,2,1,1,1,33,13759280
Chromepet,1188,1,1,1,0,14,12840300
Chromepet,1213,2,1,1,1,7,10243060
Chromepet,731,1,1,0,1,37,11029700
KKNagar,1781,3,2,0,1,5,16174720
Chromepet,702,1,1,0,0,18,8883050
AnnaNagar,1949,2,1,2,0,19,15476650
AnnaNagar,1857,2,1,2,0,30,14093160
KKNagar,1904,3,2,0,0,25,10782380
Karapakkam,1199,1,1,1,0,37,7839500
Karapakkam,1228,1,1,1,1,11,11531000
Velachery,1786,2,1,1,1,11,17240870
Velachery,1953,3,2,0,1,53,8916410
